all_medals,R,Y,All Medals,Became a legend
kill_chaos,G,N,Kill Chaos,Defeated Chaos
kill_sorceror,G,N,Kill Sorceror,Defeated the Sorceror
complete_5hp,G,N,Completed (5 Hit Points),Completed the game with only 5 hit points
all_secrets,G,N,All Secrets,Found all secrets
dragon_shield,S,N,Dragon Shield,Obtained the Dragon Shield
20_hp,S,N,20 Hit Points,Obtained 20 Hit Points
50km,S,N,Walk 50km,Walked 50km
kill_azriel,S,Y,Kill Azriel,Defeated Azriel
arrow_500,S,N,Fire 500 Arrows,Fired 500 arrows
kill_1000,S,N,Kill 1000,Defeated 1000 enemies
kill_2000,S,N,Kill 2000,Defeated 2000 enemies
no_continues,S,N,No Continues,Completed the game without continuing
kill_black_book,S,Y,Kill Black Book,Defeated the Black Book
kill_grimlore,S,Y,Kill Grimlore,Defeated Grimlore
kill_phoenix,S,Y,Kill Phoenix,Defeated the Phoenix
kill_rampaging,S,N,Kill Rampaging Tortoise,Defeated a Rampaging Master Tortoise
lightning_sword,S,Y,Lightning Sword,Obtained the Lightning Sword
safe_open,S,N,Library Safe,Opened the safe in the Library
occult,S,Y,Occult Knowledge,Located the Occult Section
access_crypt,S,N,Access Crypt,Accessed the Crypt
sorceror_start,S,Y,Met Sorceror,Met the Sorceror
10_hp,B,N,10 Hit Points,Obtained 10 Hit Points
all_chickens,B,Y,All Chickens,Rescued all of Jacob's chickens
arrow_250,B,N,Fire 250 Arrows,Fired 250 arrows
blocked,B,N,Blocked Attacks,Blocked 2000 attacks
continue_20,B,Y,20 Continues,Continued 20 times
drown_bat,B,N,Drown Bats,Drowned 20 Red Bats
dungeon_escape,B,Y,Dungeon Escape,Escaped the Dungeon
eaten_5,B,N,Eaten 5 Times,Got eaten 5 times
enter_swamp,B,Y,Enter Swamp,Entered the Forbidden Swamp
finish_tutorial,B,N,Finish Tutorial,Completed the Tutorial
fire_shield,B,N,Fire Shield,Obtained the Fire Shield
fortress_start,B,Y,Fortress,Got to the Fortress
golem_kill_grabbers,B,N,Grabber Golem Kill,Defeated the Golem using only the grabbers
kill_100,B,N,Kill 100,Defeated 100 enemies
kill_200,B,N,Kill 200,Defeated 200 enemies
kill_500,B,N,Kill 500,Defeated 500 enemies
kill_armour,B,Y,Kill Watchdog,Defeated the Watchdog
kill_awesome,B,Y,Kill Awesome Foursome,Defeated the Awesome Foursome
kill_blob,B,Y,Kill Blob,Defeated the Blob
kill_borer,B,Y,Kill Borer,Defeated the Borer
kill_evil_edgar,B,Y,Kill Evil Edgar,Defeated Evil Edgar
kill_fly,B,Y,Kill Queen Fly,Defeated the Queen Fly
kill_golem,B,Y,Kill Golem,Defeated the Golem
kill_grub,B,Y,Kill King Grub,Defeated the King Grub
kill_mataeus,B,Y,Kill Mataeus,Defeated Mataeus
kill_salamander,B,Y,Kill Salamander,Defeated the Salamander
kill_sewer,B,Y, Kill Sewer Dweller,Defeated the Sewer Dweller
kill_swamp_boss,B,Y,Kill Swamp Boss,Defeated the Forbidden Swamp Guardian
kill_gargoyle,B,Y,Kill Gargoyle,Defeated the Gargoyle
read_monster_book,B,Y,Read Monster Book,Read all of the Monster Compendium
resurrection_amulet,B,Y,Resurrection Amulet,Obtained the Amulet of Resurrection
slime,B,N,Slime Time,Spent 10 minutes as a Slime
