MAP_NAME MAP07
REMOVE_ENTITY null 5326 16108
UPDATE_ENTITY_BY_START 4896 16160 OBJECTIVE_NAME BOSS_PLATE_1
UPDATE_ENTITY_BY_START 5024 16160 OBJECTIVE_NAME BOSS_PLATE_1
REMOVE_ENTITY null 4960 18848
REMOVE_ENTITY null 5024 18848
REMOVE_ENTITY null 4864 16896
REMOVE_ENTITY null 4864 17344
UPDATE_ENTITY_BY_START 4640 18912 MAX_THINKTIME 180
UPDATE_ENTITY_BY_START 4640 18912 SPEED 4
ADD_ENTITY
{
TYPE AUTO_DOOR
NAME door/metal_door
X 4864
Y 16896
START_X 4864
START_Y 16896
END_X 4864
END_Y 16832
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 600
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES BOSS_ARROW_TARGET
ACTIVE FALSE
FACE LEFT
}

{
TYPE AUTO_DOOR
NAME door/metal_door
X 4864
Y 17344
START_X 4864
START_Y 17344
END_X 4864
END_Y 17280
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES BOSS_ARROW_TARGET
ACTIVE FALSE
FACE LEFT
}

{
TYPE AUTO_DOOR
NAME door/large_metal_door
X 4960
Y 18816
START_X 4960
START_Y 18816
END_X 4960
END_Y 18720
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES BOSS_PLATE_1
ACTIVE TRUE
FACE LEFT
}

{
TYPE AUTO_DOOR
NAME door/large_metal_door
X 5024
Y 18816
START_X 5024
START_Y 18816
END_X 5024
END_Y 18720
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 0
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES BOSS_PLATE_1
ACTIVE TRUE
FACE LEFT
}

{
TYPE KEY_ITEM
NAME item/arrow_target
X 4640
Y 16024
START_X 4640
START_Y 16024
END_X 4640
END_Y 16024
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 600
THINKTIME 0
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 0.00
WEIGHT 1.00
OBJECTIVE_NAME BOSS_ARROW_TARGET
REQUIRES weapon/normal_arrow
ACTIVE FALSE
FACE RIGHT
}

{
TYPE FALLING_PLATFORM
NAME falling_platform/sewer_falling_platform
X 5216
Y 18912
START_X 5216
START_Y 18912
END_X 5216
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE FALLING_PLATFORM
NAME falling_platform/sewer_falling_platform
X 5248
Y 18912
START_X 5248
START_Y 18912
END_X 5248
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE FALLING_PLATFORM
NAME falling_platform/sewer_falling_platform
X 5280
Y 18912
START_X 5280
START_Y 18912
END_X 5280
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE FALLING_PLATFORM
NAME falling_platform/sewer_falling_platform
X 5312
Y 18912
START_X 5312
START_Y 18912
END_X 5312
END_Y 18912
DIR_X 0.00
DIR_Y 0.00
MAX_THINKTIME 60
THINKTIME 60
MENTAL 0
HEALTH 0
DAMAGE 0
SPAWNTIME 0
SPEED 2.00
WEIGHT 1.00
OBJECTIVE_NAME 
REQUIRES 
ACTIVE TRUE
FACE LEFT
}

{
TYPE FALLING_PLATFORM
